DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
3/26/2018,10:00,MANHATTAN,10022,,,,East 53 street                  ,Lexington avenue,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3869671,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:00,MANHATTAN,10025,40.796642,-73.96848,"(40.796642, -73.96848)",AMSTERDAM AVENUE                ,WEST 100 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3870895,PASSENGER VEHICLE,,,,
3/26/2018,10:00,QUEENS,11102,40.77051,-73.92547,"(40.77051, -73.92547)",28 AVENUE                       ,23 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3869917,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/15/2018,15:50,,,40.638603,-73.94827,"(40.638603, -73.94827)",NOSTRAND AVENUE                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3863120,DS,,,,
3/26/2018,10:00,QUEENS,11362,40.75783,-73.73737,"(40.75783, -73.73737)",244 STREET                      ,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3869686,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,10:00,QUEENS,11416,40.68322,-73.854706,"(40.68322, -73.854706)",,,85-24     ROCKAWAY BOULEVARD            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869898,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:00,,,40.755344,-73.90799,"(40.755344, -73.90799)",53 PLACE                        ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3869915,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,10:00,,,40.783573,-73.94309,"(40.783573, -73.94309)",FDR DRIVE RAMP                  ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3869732,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:00,,,40.672558,-73.99883,"(40.672558, -73.99883)",HAMILTON AVENUE                 ,SMITH STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3869841,TRUCK,PASSENGER VEHICLE,,,
3/26/2018,10:00,MANHATTAN,10027,40.80761,-73.95305,"(40.80761, -73.95305)",WEST 121 STREET                 ,8 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,,,3871070,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,10:00,QUEENS,11374,40.72229,-73.86732,"(40.72229, -73.86732)",WOODHAVEN BOULEVARD             ,63 DRIVE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3869672,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
3/26/2018,10:00,,,40.77229,-73.915405,"(40.77229, -73.915405)",24 AVENUE                       ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3869914,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:05,,,40.668495,-73.925606,"(40.668495, -73.925606)",EASTERN PARKWAY                 ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3870535,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:08,BROOKLYN,11219,40.638596,-73.992,"(40.638596, -73.992)",45 STREET                       ,12 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3870764,PASSENGER VEHICLE,,,,
3/26/2018,10:10,BROOKLYN,11225,40.66703,-73.94799,"(40.66703, -73.94799)",CARROLL STREET                  ,NEW YORK AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3869658,VN,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:10,STATEN ISLAND,10306,40.58271,-74.10062,"(40.58271, -74.10062)",HUSSON STREET                   ,JEFFERSON AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3870010,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:10,,,40.823383,-73.91834,"(40.823383, -73.91834)",EAST 158 STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3871335,SPORT UTILITY / STATION WAGON,,,,
3/26/2018,10:13,BRONX,10451,40.81883,-73.918526,"(40.81883, -73.918526)",,,641       COURTLANDT AVENUE             ,0,0,0,0,0,0,0,0,Unspecified,,,,,3871052,SPORT UTILITY / STATION WAGON,,,,
3/26/2018,10:15,,,40.58941,-73.79778,"(40.58941, -73.79778)",BEACH 69 STREET                 ,SWAN ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3869921,PASSENGER VEHICLE,CM,,,
3/26/2018,10:20,,,40.58843,-73.96983,"(40.58843, -73.96983)",WEST STREET                     ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3869991,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,10:20,BROOKLYN,11220,40.636547,-74.02866,"(40.636547, -74.02866)",RIDGE BOULEVARD                 ,BAY RIDGE AVENUE,,1,0,1,0,0,0,0,0,Turning Improperly,,,,,3870872,PASSENGER VEHICLE,,,,
3/26/2018,10:23,,,40.69133,-73.95177,"(40.69133, -73.95177)",NOSTRAND AVENUE                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3870793,SPORT UTILITY / STATION WAGON,,,,
3/26/2018,10:25,,,40.84009,-73.88036,"(40.84009, -73.88036)",EAST TREMONT AVENUE             ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3870272,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,10:25,,,40.603832,-74.06895,"(40.603832, -74.06895)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3871108,VAN,PASSENGER VEHICLE,,,
3/26/2018,10:30,BROOKLYN,11232,40.66919,-73.99682,"(40.66919, -73.99682)",15 STREET                       ,HAMILTON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869687,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:30,MANHATTAN,10019,,,,6th AVENUE                      ,W 57TH STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869663,TAXI,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:30,QUEENS,11412,40.69404,-73.76617,"(40.69404, -73.76617)",,,187-03    TIOGA DRIVE                   ,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3870020,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,10:30,,,40.77077,-73.91727,"(40.77077, -73.91727)",HOYT AVENUE NORTH               ,31 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869918,PASSENGER VEHICLE,PL,,,
3/26/2018,10:30,,,40.681656,-73.72783,"(40.681656, -73.72783)",LAURELTON PARKWAY               ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3869748,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,10:37,,,40.8396,-73.929474,"(40.8396, -73.929474)",MAJOR DEEGAN EXPRESSWAY         ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3869758,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:39,MANHATTAN,10019,,,,WEST 55 STREET                  ,8 AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3871091,TAXI,,,,
3/26/2018,10:40,BRONX,10472,40.829662,-73.85683,"(40.829662, -73.85683)",HAVILAND AVENUE                 ,PUGSLEY AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,3870271,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
3/26/2018,10:40,BRONX,10474,40.812332,-73.89238,"(40.812332, -73.89238)",EAST 156 STREET                 ,TRUXTON STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3869694,PASSENGER VEHICLE,PICK-UP TRUCK,,,
3/26/2018,10:40,MANHATTAN,10016,40.742023,-73.98292,"(40.742023, -73.98292)",LEXINGTON AVENUE                ,EAST 27 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3869684,PASSENGER VEHICLE,TAXI,,,
3/26/2018,10:40,,,40.729736,-73.833725,"(40.729736, -73.833725)",VAN WYCK EXPWY                  ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3869897,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,10:47,,,40.8047,-73.83141,"(40.8047, -73.83141)",BRONX WHITESTONE BRIDGE         ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3871403,PASSENGER VEHICLE,TK,,,
3/26/2018,10:50,MANHATTAN,10019,40.765987,-73.98713,"(40.765987, -73.98713)",WEST 54 STREET                  ,9 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3870606,PASSENGER VEHICLE,,,,
3/26/2018,10:54,QUEENS,11434,40.66619,-73.7777,"(40.66619, -73.7777)",,,166-02    144 AVENUE                    ,0,0,0,0,0,0,0,0,,,,,,3869741,,,,,
3/26/2018,10:55,,,40.67549,-73.96752,"(40.67549, -73.96752)",STERLING PLACE                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3870961,VN,PASSENGER VEHICLE,,,
3/26/2018,10:57,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3870813,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,11:00,BROOKLYN,11222,40.72218,-73.949875,"(40.72218, -73.949875)",MANHATTAN AVENUE                ,DRIGGS AVENUE,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,3870167,SPORT UTILITY / STATION WAGON,AM,,,
3/26/2018,11:00,QUEENS,11368,40.73561,-73.86013,"(40.73561, -73.86013)",,,98-15     HORACE HARDING EXPRESSWAY     ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3869979,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
